Date,NINGDE_Close,BYD_Close
2022-09-22,217.0,86.78
2022-09-23,218.3,86.06
2022-09-26,224.59,88.25
2022-09-27,225.06,88.58
2022-09-28,218.36,85.8
2022-09-29,219.59,85.45
2022-09-30,209.52,81.27
2022-10-10,205.06,81.0
2022-10-11,218.09,82.27
2022-10-12,230.05,84.71
2022-10-13,226.81,83.32
2022-10-14,229.54,85.44
2022-10-17,225.34,84.15
2022-10-18,225.44,88.49
2022-10-19,226.44,86.43
2022-10-20,217.36,85.1
2022-10-21,216.25,86.03
2022-10-24,211.26,82.45
2022-10-25,209.97,83.23
2022-10-26,209.62,83.22
2022-10-27,203.64,82.26
2022-10-28,189.86,77.23
2022-10-31,193.96,79.49
2022-11-01,201.36,84.54
2022-11-02,204.31,86.45
2022-11-03,200.21,86.59
2022-11-04,211.47,90.66
2022-11-07,214.86,90.22
2022-11-08,214.47,89.4
2022-11-09,207.4,87.14
2022-11-10,200.86,84.02
2022-11-11,210.41,86.86
2022-11-14,201.91,85.19
2022-11-15,206.91,86.26
2022-11-16,200.18,84.29
2022-11-17,195.21,82.93
2022-11-18,198.36,82.16
2022-11-21,199.25,82.0
2022-11-22,195.14,80.76
2022-11-23,197.65,81.1
2022-11-24,196.04,80.39
2022-11-25,193.59,78.95
2022-11-28,192.54,78.97
2022-11-29,196.75,80.03
2022-11-30,200.7,83.77
2022-12-01,206.39,86.15
2022-12-02,204.52,84.62
2022-12-05,204.76,85.05
2022-12-06,209.04,86.46
2022-12-07,219.2,88.51
2022-12-08,220.4,88.69
2022-12-09,222.7,88.83
2022-12-12,217.0,87.22
2022-12-13,212.04,87.2
2022-12-14,210.31,86.06
2022-12-15,222.25,87.75
2022-12-16,219.04,87.43
2022-12-19,220.36,86.1
2022-12-20,214.32,84.46
2022-12-21,212.82,84.2
2022-12-22,210.14,83.66
2022-12-23,208.19,81.32
2022-12-26,211.21,84.74
2022-12-27,211.01,84.64
2022-12-28,205.7,82.14
2022-12-29,205.67,82.18
2022-12-30,205.37,82.92
2023-01-03,203.27,84.09
2023-01-04,200.15,83.63
2023-01-05,213.2,85.62
2023-01-06,218.29,86.0
2023-01-09,218.25,85.06
2023-01-10,226.81,86.13
2023-01-11,224.51,86.93
2023-01-12,227.64,89.7
2023-01-13,230.97,90.12
2023-01-16,234.94,88.53
2023-01-17,234.37,87.26
2023-01-18,235.97,86.93
2023-01-19,235.01,87.43
2023-01-20,237.92,87.29
2023-01-30,248.28,91.26
2023-01-31,245.25,92.53
2023-02-01,251.7,98.71
2023-02-02,245.75,98.14
2023-02-03,240.25,95.6
2023-02-06,237.14,93.92
2023-02-07,235.75,93.6
2023-02-08,235.26,92.48
2023-02-09,238.47,93.37
2023-02-10,234.56,91.22
2023-02-13,242.36,91.37
2023-02-14,237.39,91.25
2023-02-15,236.03,90.26
2023-02-16,233.03,89.6
2023-02-17,220.25,87.82
2023-02-20,220.4,88.2
2023-02-21,217.37,88.85
2023-02-22,214.29,87.4
2023-02-23,216.38,87.41
2023-02-24,212.03,86.46
2023-02-27,209.64,83.87
2023-02-28,211.2,84.2
2023-03-01,215.57,85.76
2023-03-02,209.47,85.17
2023-03-03,210.32,85.19
2023-03-06,213.71,85.35
2023-03-07,210.25,84.16
2023-03-08,207.77,82.93
2023-03-09,207.37,82.62
2023-03-10,212.25,78.31
2023-03-13,204.59,77.43
2023-03-14,201.94,77.26
2023-03-15,202.36,76.8
