Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2022-05-23,1586.08,22157,139.63,276453,1446.4499999999998,11.359163503545084,0.08014743916687465
2022-05-24,1565.08,27342,136.77,188552,1428.31,11.443152738173575,0.145010395010395
2022-05-25,1560.59,22389,137.65,163957,1422.9399999999998,11.337377406465674,0.13655409650091183
2022-05-26,1547.88,28053,137.42,194318,1410.46,11.263862610973659,0.1443664508691938
2022-05-27,1560.24,25120,138.15,210683,1422.09,11.293811074918567,0.11923126213315739
2022-05-30,1583.49,34466,146.38,510932,1437.1100000000001,10.81766634786173,0.06745711758120454
2022-05-31,1609.11,40751,151.6,486545,1457.51,10.614182058047493,0.08375587047446793
2022-06-01,1593.33,21760,150.61,219302,1442.7199999999998,10.579178009428324,0.09922390128680997
2022-06-02,1591.08,16915,149.95,165224,1441.1299999999999,10.610736912304102,0.10237616811117028
2022-06-06,1593.08,36741,153.14,278142,1439.94,10.402768708371426,0.1320943978255711
2022-06-07,1622.98,35049,154.32,295077,1468.66,10.516977708657336,0.11877916611596295
2022-06-08,1670.68,44354,158.33,325279,1512.3500000000001,10.551885302848481,0.13635678909490007
2022-06-09,1658.08,26329,156.21,207839,1501.87,10.614429293899237,0.12667978579573613
2022-06-10,1705.68,47345,157.62,215630,1548.06,10.821469356680625,0.21956592310902937
2022-06-13,1661.08,36755,152.71,264346,1508.37,10.877349224019381,0.1390412565349958
2022-06-14,1676.08,29416,154.0,197333,1522.08,10.883636363636363,0.1490678193713165
2022-06-15,1680.18,33664,157.48,325441,1522.7,10.669164338328677,0.10344117674171355
2022-06-16,1682.08,26887,157.8,205006,1524.28,10.659569074778199,0.1311522589582744
2022-06-17,1756.08,50542,161.38,286204,1594.6999999999998,10.881645804932457,0.1765943173400791
2022-06-20,1747.1,34975,163.69,311954,1583.4099999999999,10.673223776650985,0.11211588888105298
2022-06-21,1750.82,23717,161.86,218116,1588.96,10.816878784134436,0.10873571860844689
2022-06-22,1741.08,19647,158.27,223528,1582.81,11.000695014848043,0.08789502881070828
2022-06-23,1762.18,26844,160.6,159725,1601.5800000000002,10.972478206724784,0.1680638597589607
2022-06-24,1814.09,39635,165.2,245187,1648.8899999999999,10.981174334140436,0.16165212674407697
2022-06-27,1815.63,40115,173.2,366375,1642.43,10.482852193995383,0.10949164107813034
2022-06-28,1841.08,25246,179.85,316786,1661.23,10.236752849596886,0.07969417840434868
2022-06-29,1835.08,30360,175.23,289971,1659.85,10.472407692746676,0.10470012518493228
2022-06-30,1871.76,38982,185.16,425215,1686.6,10.108878807517822,0.09167597568288983
2022-07-01,1855.81,21596,186.23,219366,1669.58,9.965150620200827,0.09844734370868777
2022-07-04,1844.76,25076,184.27,225876,1660.49,10.011179247842838,0.11101666401034196
2022-07-05,1859.77,26329,181.84,262965,1677.93,10.22750769907611,0.10012359059190387
2022-07-06,1828.76,32752,177.97,227633,1650.79,10.2756644378266,0.14388072028220864
2022-07-07,1816.76,20932,174.82,266771,1641.94,10.392174808374328,0.07846430084229546
2022-07-08,1825.76,15644,175.93,164097,1649.83,10.3777638833627,0.09533385741360292
2022-07-11,1790.36,23949,172.61,192575,1617.75,10.3722843404206,0.1243619369076983
2022-07-12,1775.17,23447,173.23,169935,1601.94,10.24747445592565,0.13797628505016624
2022-07-13,1785.65,19854,176.33,189919,1609.3200000000002,10.126750978279363,0.1045393035978496
2022-07-14,1779.76,20527,173.36,151079,1606.4,10.266266728195662,0.13586931340556926
2022-07-15,1776.26,33416,173.13,207209,1603.13,10.259689250851961,0.1612671264279061
2022-07-18,1778.42,24221,170.56,178034,1607.8600000000001,10.426946529080675,0.13604704719323274
2022-07-19,1769.86,21956,172.13,120214,1597.73,10.282112356939523,0.18264095696008784
2022-07-20,1776.86,18705,172.34,112498,1604.52,10.310200765927817,0.16626962257106792
2022-07-21,1765.76,14061,169.93,110728,1595.83,10.391102218560583,0.1269868506610794
2022-07-22,1773.76,25114,169.14,116986,1604.62,10.48693390091049,0.21467526028755576
2022-07-25,1771.41,16912,171.31,124799,1600.1000000000001,10.340377094156793,0.13551390636142918
2022-07-26,1776.97,20685,174.22,137474,1602.75,10.199575249684308,0.1504648151650494
2022-07-27,1746.36,21490,171.33,97491,1575.03,10.192960952547713,0.22043060385061186
2022-07-28,1724.76,34870,170.35,92609,1554.41,10.12480187848547,0.37652927901175914
2022-07-29,1725.2,37032,161.63,340311,1563.5700000000002,10.673761059209307,0.108818110493049
2022-08-01,1717.06,21037,161.81,156082,1555.25,10.611581484457078,0.1347817173024436
2022-08-02,1706.74,28221,158.89,176738,1547.85,10.741645163320538,0.1596770360646833
2022-08-03,1711.76,24598,157.82,154031,1553.94,10.846280572804462,0.15969512630574365
2022-08-04,1742.77,30357,160.01,133686,1582.76,10.891631773014186,0.22707688164804093
2022-08-05,1750.72,20086,162.41,127017,1588.31,10.779631796071671,0.15813631246211138
2022-08-08,1738.29,16799,161.14,130251,1577.15,10.787451905175624,0.12897405778074642
2022-08-09,1736.76,13875,160.21,85386,1576.55,10.840521815117658,0.1624973649075961
2022-08-10,1702.76,27927,157.23,143549,1545.53,10.82973987152579,0.19454680980013794
2022-08-11,1733.66,26061,161.14,139671,1572.52,10.758719126225644,0.18658848293489702
2022-08-12,1754.76,20260,161.93,108619,1592.83,10.836534304946582,0.18652353639786778
2022-08-15,1746.65,19323,159.23,138440,1587.42,10.96935250894932,0.13957671193296736
2022-08-16,1744.6,14836,158.46,109975,1586.1399999999999,11.009718540956706,0.1349033871334394
2022-08-17,1744.76,18361,159.43,122116,1585.33,10.943737063287962,0.1503570375708343
2022-08-18,1722.26,23168,156.66,179552,1565.6,10.993616749648922,0.12903225806451613
2022-08-19,1721.77,13544,156.89,126038,1564.88,10.97437695200459,0.1074596550246751
2022-08-22,1720.74,15427,154.73,155130,1566.01,11.120920312802948,0.09944562624895249
2022-08-23,1696.77,23756,151.23,229248,1545.54,11.219797659194604,0.10362576772752652
2022-08-24,1680.96,18728,150.47,180255,1530.49,11.171396291619592,0.1038972566641702
2022-08-25,1711.76,21925,152.64,174854,1559.12,11.214360587002098,0.12539032564310795
2022-08-26,1724.76,23142,153.33,243787,1571.43,11.248679319115633,0.09492712901016051
2022-08-29,1705.58,13570,148.58,254306,1557.0,11.479203122896754,0.05336091165760934
2022-08-30,1696.76,18235,147.26,186433,1549.5,11.522205622708135,0.09780993708195437
2022-08-31,1750.76,44692,150.42,267333,1600.34,11.63914373088685,0.1671772658070646
2022-09-01,1707.65,26845,146.79,158442,1560.8600000000001,11.633285646161184,0.16943108519205766
2022-09-02,1701.76,19391,145.07,155924,1556.69,11.73061280761012,0.12436186860265258
2022-09-05,1661.76,36822,142.25,224320,1519.51,11.681968365553603,0.16414942938659058
2022-09-06,1671.76,20830,143.76,146938,1528.0,11.628825820812466,0.14176047040248269
2022-09-07,1644.77,28306,142.17,141508,1502.6,11.569037068298517,0.20003109364841565
2022-09-08,1641.76,16591,142.3,148672,1499.46,11.537315530569218,0.11159465131295739
2022-09-09,1671.55,27090,144.69,203188,1526.86,11.552629760176929,0.13332480264582555
2022-09-13,1705.76,28693,146.86,224554,1558.9,11.61487130600572,0.12777772829697978
2022-09-14,1695.76,16042,145.63,143438,1550.13,11.64430405822976,0.11183926156248693
2022-09-15,1706.76,20810,147.63,244932,1559.13,11.561064824222719,0.08496235689905769
2022-09-16,1685.76,24121,144.31,178052,1541.45,11.68151895225556,0.13547165996450475
2022-09-19,1698.4,18584,146.25,172371,1552.15,11.612991452991453,0.10781395942472921
2022-09-20,1704.76,14116,149.02,184881,1555.74,11.43980673735069,0.07635181549212737
2022-09-21,1674.76,20995,146.68,127648,1528.08,11.417780201799836,0.16447574580095262
2022-09-22,1647.57,22704,142.13,182114,1505.44,11.591993245620207,0.1246691632713575
2022-09-23,1661.19,28288,142.36,120259,1518.83,11.66893790390559,0.23522563799798768
2022-09-26,1689.76,35135,145.34,210416,1544.42,11.62625567634512,0.1669787468633564
2022-09-27,1714.76,28820,154.06,354440,1560.7,11.130468648578475,0.08131136440582327
2022-09-28,1709.76,21446,152.83,244311,1556.93,11.187332330039913,0.08778155711367888
2022-09-29,1707.11,21590,151.74,175647,1555.37,11.250230657703966,0.12291698691124812
2022-09-30,1699.26,21289,152.46,167010,1546.8,11.145611963793781,0.1274714088976708
2022-10-10,1612.76,48584,142.13,256509,1470.63,11.347076619995779,0.18940466026533181
2022-10-11,1606.75,32047,141.82,163898,1464.93,11.329502185869412,0.19553014679861866
2022-10-12,1586.76,48195,139.83,242385,1446.93,11.347779446470714,0.19883656166842006
2022-10-13,1526.75,63969,136.8,191401,1389.95,11.160453216374268,0.33421455478289036
2022-10-14,1564.37,46520,142.35,228723,1422.02,10.989603090972954,0.2033901269220848
2022-10-17,1545.26,33550,140.88,146701,1404.38,10.968625780806361,0.22869646423678094
2022-10-18,1532.59,28083,141.93,139689,1390.6599999999999,10.798210385401253,0.20103945192534844
2022-10-19,1474.76,60121,137.73,173929,1337.03,10.707616350831337,0.345664035324759
